timeStep	iteration	relativeResidual	absoluteResidual
1	1	(1.000000e+00	1.000000e-01)
1	2	(1.000000e-01	1.000000e-02)
1	3	(1.000000e-02	1.000000e-03)
1	4	(1.000000e-03	1.000000e-04)
1	5	(1.000000e-04	1.000000e-05)
1	6	(1.000000e-05	1.000000e-06)
1	7	(1.000000e-06	1.000000e-07)
1	8	(1.000000e-07	1.000000e-08)
1	9	(1.000000e-08	1.000000e-09)
1	10	(1.000000e-09	1.000000e-10)
1	11	(1.000000e-10	1.000000e-11)
1	12	(1.000000e-11	1.000000e-12)
1	13	(1.000000e-12	1.000000e-13)
1	14	(1.000000e-13	1.000000e-14)
1	15	(1.000000e-14	1.000000e-15)
1	16	(1.000000e-15	1.000000e-16)
1	17	(1.000000e-16	1.000000e-17)
1	18	(1.000000e-17	1.000000e-18)
1	19	(1.000000e-18	1.000000e-19)
1	20	(1.000000e-19	1.000000e-20)
1	21	(1.000000e-20	1.000000e-21)
1	22	(1.000000e-21	1.000000e-22)
1	23	(1.000000e-22	1.000000e-23)
1	24	(1.000000e-23	1.000000e-24)
1	25	(1.000000e-24	1.000000e-25)
1	26	(1.000000e-25	1.000000e-26)
1	27	(1.000000e-26	1.000000e-27)
1	28	(1.000000e-27	1.000000e-28)
1	29	(1.000000e-28	1.000000e-29)
1	30	(1.000000e-29	1.000000e-30)
1	31	(1.000000e-30	1.000000e-31)
1	32	(1.000000e-31	1.000000e-32)
1	33	(1.000000e-32	1.000000e-33)
1	34	(1.000000e-33	1.000000e-34)
1	35	(1.000000e-34	1.000000e-35)
1	36	(1.000000e-35	1.000000e-36)
1	37	(1.000000e-36	1.000000e-37)
1	38	(1.000000e-37	1.000000e-38)
1	39	(1.000000e-38	1.000000e-39)
1	40	(1.000000e-39	1.000000e-40)
1	41	(1.000000e-40	1.000000e-41)
1	42	(1.000000e-41	1.000000e-42)
1	43	(1.000000e-42	1.000000e-43)
1	44	(1.000000e-43	1.000000e-44)
1	45	(1.000000e-44	1.000000e-45)
1	46	(1.000000e-45	1.000000e-46)
1	47	(1.000000e-46	1.000000e-47)
1	48	(1.000000e-47	1.000000e-48)
1	49	(1.000000e-48	1.000000e-49)
1	50	(1.000000e-49	1.000000e-50)
1	51	(1.000000e-50	1.000000e-51)
1	52	(1.000000e-51	1.000000e-52)
1	53	(1.000000e-52	1.000000e-53)
1	54	(1.000000e-53	1.000000e-54)
1	55	(1.000000e-54	1.000000e-55)
1	56	(1.000000e-55	1.000000e-56)
1	57	(1.000000e-56	1.000000e-57)
1	58	(1.000000e-57	1.000000e-58)
1	59	(1.000000e-58	1.000000e-59)
1	60	(1.000000e-59	1.000000e-60)
1	61	(1.000000e-60	1.000000e-61)
1	62	(1.000000e-61	1.000000e-62)
1	63	(1.000000e-62	1.000000e-63)
1	64	(1.000000e-63	1.000000e-64)
1	65	(1.000000e-64	1.000000e-65)
1	66	(1.000000e-65	1.000000e-66)
1	67	(1.000000e-66	1.000000e-67)
1	68	(1.000000e-67	1.000000e-68)
1	69	(1.000000e-68	1.000000e-69)
1	70	(1.000000e-69	1.000000e-70)
1	71	(1.000000e-70	1.000000e-71)
1	72	(1.000000e-71	1.000000e-72)
1	73	(1.000000e-72	1.000000e-73)
1	74	(1.000000e-73	1.000000e-74)
1	75	(1.000000e-74	1.000000e-75)
1	76	(1.000000e-75	1.000000e-76)
1	77	(1.000000e-76	1.000000e-77)
1	78	(1.000000e-77	1.000000e-78)
1	79	(1.000000e-78	1.000000e-79)
1	80	(1.000000e-79	1.000000e-80)
1	81	(1.000000e-80	1.000000e-81)
1	82	(1.000000e-81	1.000000e-82)
1	83	(1.000000e-82	1.000000e-83)
1	84	(1.000000e-83	1.000000e-84)
1	85	(1.000000e-84	1.000000e-85)
1	86	(1.000000e-85	1.000000e-86)
1	87	(1.000000e-86	1.000000e-87)
1	88	(1.000000e-87	1.000000e-88)
1	89	(1.000000e-88	1.000000e-89)
1	90	(1.000000e-89	1.000000e-90)
1	91	(1.000000e-90	1.000000e-91)
1	92	(1.000000e-91	1.000000e-92)
1	93	(1.000000e-92	1.000000e-93)
1	94	(1.000000e-93	1.000000e-94)
1	95	(1.000000e-94	1.000000e-95)
